"delivery_id","delivery_type","delivery_status","delivery_datetime","address_id","user_id","order_detail_id","shipper_id"
1218,"Same-Day","Delivered","2023-06-12 09:52:18.914739",720470,100087,4941,9227
1263,"Same-Day","Delivered","2023-05-08 13:27:32.548416",720470,100087,4424,4970
4716,"Standard","Delivered","2023-10-11 18:44:45.572156",720470,100087,8488,1857
8147,"Standard","Delivered","2023-10-04 15:53:25.680701",333939,101299,4676,4970
3232,"Pickup","Delivered","2023-12-21 00:06:54.354622",333939,101299,5916,3842
8904,"Express","Delivered","2023-05-08 05:59:49.260891",333939,101299,2002,4581
4407,"Pickup","Delivered","2023-05-16 15:36:16.098034",116742,101474,2616,NA
2924,"Express","Pending",NA,116742,101474,7562,9227
1522,"Express","Delivered","2023-11-15 04:48:19.642014",116742,101474,1552,9887
5590,"Same-Day","Delivered","2023-05-16 19:53:42.269453",275438,102269,8170,NA
3337,"Same-Day","Delivered","2023-10-01 16:07:25.474899",275438,102269,9253,9887
7212,"Express","Delivered","2023-07-09 08:16:32.516798",275438,102269,5305,NA
1090,"Pickup","Delivered","2023-11-11 15:21:17.981903",464639,104050,9859,9227
7371,"Express","Delivered","2023-04-26 05:58:50.929041",464639,104050,1221,NA
3219,"Same-Day","Delivered","2023-10-15 15:38:55.933357",464639,104050,8173,NA
4894,"Standard","Delivered","2023-11-29 10:29:05.284968",773332,104563,1734,NA
4588,"Standard","Delivered","2023-05-12 07:02:01.195869",773332,104563,7460,3842
2956,"Express","Delivered","2023-03-14 07:02:03.087611",773332,104563,7431,4581
8416,"Same-Day","Delivered","2023-02-13 14:28:27.196648",123230,106524,6422,4581
1493,"Pickup","Delivered","2023-08-19 02:13:34.398573",680979,106791,3158,NA
6204,"Standard","Delivered","2023-11-18 03:55:27.235121",680979,106791,2026,4135
7573,"Same-Day","Delivered","2023-10-15 06:19:31.569566",680979,106791,3856,1857
8598,"Express","Delivered","2023-11-22 15:13:38.621812",436597,106926,5868,NA
3199,"Same-Day","Delivered","2023-01-13 01:49:13.346792",436597,106926,1956,9227
8056,"Standard","Delivered","2023-02-18 09:36:18.346442",436597,106926,7793,9402
3906,"Standard","Delivered","2023-09-07 23:25:11.860934",978646,107139,7870,3842
8150,"Pickup","Delivered","2023-12-07 16:15:42.770914",978646,107139,1920,9402
6416,"Pickup","Delivered","2023-06-18 18:39:19.004505",289106,107951,2524,9887
1087,"Standard","Delivered","2023-07-10 20:59:28.029725",574685,108324,1052,4135
8156,"Standard","Delivered","2023-03-25 07:54:10.962941",574685,108324,6150,6170
3299,"Pickup","Delivered","2023-10-05 15:50:08.066001",551058,109707,2233,9887
6579,"Same-Day","Delivered","2023-10-17 05:38:22.57817",885496,110692,6220,4970
2217,"Pickup","Delivered","2023-04-27 04:25:52.996632",885496,110692,3614,2192
3842,"Standard","Delivered","2023-05-13 00:42:51.325743",453948,110775,3602,NA
2433,"Express","Delivered","2023-08-07 17:16:08.930445",453948,110775,4005,1857
1804,"Same-Day","Delivered","2023-01-21 20:01:48.803788",815239,111161,5076,2192
9509,"Pickup","Delivered","2023-03-31 13:13:46.264827",815239,111161,5781,NA
7086,"Same-Day","Delivered","2023-05-27 01:33:43.210095",725990,111337,3964,NA
3970,"Same-Day","Delivered","2023-05-20 23:15:02.334065",725990,111337,2814,2192
3844,"Express","Delivered","2023-10-02 09:03:12.659728",725990,111337,6314,NA
7370,"Same-Day","Delivered","2023-11-21 03:24:44.594623",367703,112974,3157,NA
1112,"Same-Day","Delivered","2023-04-02 00:23:05.40876",367703,112974,4973,2192
3693,"Pickup","Delivered","2023-03-20 06:15:08.338767",367703,112974,6631,9887
9424,"Pickup","Delivered","2023-03-25 04:15:48.483536",898795,113699,7104,NA
3391,"Standard","Delivered","2023-07-04 09:59:04.735712",511976,114305,8958,NA
2586,"Express","Delivered","2023-11-16 16:03:50.412436",363108,116029,7831,1857
8645,"Standard","Delivered","2023-10-31 17:20:49.881043",363108,116029,1604,NA
7022,"Express","Delivered","2023-06-03 05:10:10.839227",363108,116029,8757,NA
9864,"Same-Day","Delivered","2023-03-11 23:31:40.796543",610012,116366,4000,NA
6846,"Express","Out for Delivery",NA,610012,116366,2153,1857
